formula_i,chaos,spatial,spectral,msm,total_iso_ints,min_iso_ints,max_iso_ints,formula,fdr,moldb_id,chem_mod,neutral_loss,adduct
1034765,0.9981828882513059,0.8442636877037738,0.925937466794065,0.7803148797547373,"[80071491584.0, 34282059776.0, 2310974720.0, 19010539520.0]","[0, 0, 0, 0]","[39420716.0, 23690310.0, 2676420.0, 10585965.0]",C41H71O8P,0.05,22.0,,,+H
1102247,0.9985422333821581,0.9357168885131181,0.9956967356361864,0.930332064425542,"[1083391737856.0, 532939112448.0, 128010461184.0, 20710477824.0]","[0, 0, 0, 0]","[973173504.0, 439028928.0, 90511456.0, 14393455.0]",C44H80NO8P,0.05,22.0,,,+H
621250,0.9984785901142779,0.8433401914510359,0.983869441758422,0.8284742738435942,"[36775854080.0, 8786498560.0, 17646106.0, 0]","[0, 0, 0, 0]","[34345060.0, 8139791.5, 1414211.375, 0]",C24H50NO7P,0.05,22.0,,,+H
1146622,0.9988951069019946,0.8580248969691348,0.9912914669969921,0.8496129889637487,"[523624382464.0, 264774877184.0, 55878565888.0, 11034210304.0]","[0, 0, 0, 0]","[319353024.0, 182060208.0, 31748386.0, 7012979.5]",C46H84NO8P,0.05,22.0,,,+H
1146622,0.9988951069019946,0.8580248969691348,0.9912914669969921,0.8496129889637487,"[523624382464.0, 264774877184.0, 55878565888.0, 11034210304.0]","[0, 0, 0, 0]","[319353024.0, 182060208.0, 31748386.0, 7012979.5]",C46H86NO10P,0.05,22.0,-CO2+CO,-H2O,+H
204789,0.9990383284903833,0.8236536931776598,0.9907774450456117,0.8152727224793224,"[83146866688.0, 656272.8125, 11840271360.0, 1181438.25]","[0, 0, 0, 0]","[68396312.0, 656272.8125, 9918029.0, 592290.0625]",C14H30N4O2,0.05,22.0,,,+H
11584,0.9986116838487973,0.887769974137383,0.9827490094616347,0.8712438192585308,"[239062122496.0, 1165280.0, 12600600576.0, 0]","[0, 0, 0, 0]","[225853984.0, 591834.5, 11762557.0, 0]",C10H11NO2,0.05,22.0,-CO2+CO,,+Na
11584,0.9986116838487973,0.887769974137383,0.9827490094616347,0.8712438192585308,"[239062122496.0, 1165280.0, 12600600576.0, 0]","[0, 0, 0, 0]","[225853984.0, 591834.5, 11762557.0, 0]",C10H13NO3,0.05,22.0,-CO2+CO,-H2O,+Na
11584,0.9986116838487973,0.887769974137383,0.9827490094616347,0.8712438192585308,"[239062122496.0, 1165280.0, 12600600576.0, 0]","[0, 0, 0, 0]","[225853984.0, 591834.5, 11762557.0, 0]",C10H11NO,0.05,22.0,,,+Na
1102247,0.9985422333821581,0.9357168885131181,0.9956967356361864,0.930332064425542,"[1083391737856.0, 532939112448.0, 128010461184.0, 20710477824.0]","[0, 0, 0, 0]","[973173504.0, 439028928.0, 90511456.0, 14393455.0]",C44H82NO10P,0.05,22.0,-CO2+CO,-H2O,+H
587187,0.9992419543794363,0.9073751629767066,0.9815511235675832,0.889959968671906,"[34496430080.0, 0, 7369203200.0, 76762216.0]","[0, 0, 0, 0]","[57414452.0, 0, 13324878.0, 1465575.125]",C23H45NO4,0.05,22.0,,,+H
1142913,0.9985108568075117,0.8302778180447958,0.9801463259973995,0.812581897486503,"[58506698752.0, 28484972544.0, 4265214976.0, 184778832.0]","[0, 0, 0, 0]","[48423152.0, 23353480.0, 10872804.0, 4155061.5]",C46H78NO8P,0.05,22.0,,,+H
981578,0.9984437434279706,0.7827742523508034,0.965062952924526,0.7542507940983304,"[30388264960.0, 11616278528.0, 161070336.0, 21650426.0]","[0, 0, 0, 0]","[17243556.0, 7257870.5, 1485907.25, 1135983.0]",C39H67O8P,0.05,22.0,,,+H
650919,0.999012399077278,0.8457166038388695,0.9774767046473783,0.8258518606308789,"[26059515904.0, 0, 5943974912.0, 0]","[0, 0, 0, 0]","[35395440.0, 0, 9290219.0, 0]",C25H47NO4,0.05,22.0,,,+H
514796,0.9992174874542825,0.8078439456069285,0.9650823401665602,0.779025850622914,"[12210891776.0, 0, 1593032704.0, 0]","[0, 0, 0, 0]","[24093718.0, 0, 5871354.0, 0]",C21H41NO4,0.05,22.0,,,+H
11584,0.9986116838487973,0.887769974137383,0.9827490094616347,0.8712438192585308,"[239062122496.0, 1165280.0, 12600600576.0, 0]","[0, 0, 0, 0]","[225853984.0, 591834.5, 11762557.0, 0]",C10H13NO2,0.05,22.0,,-H2O,+Na
1193622,0.9991228070175439,0.867922317718829,0.9809139058186293,0.850610266172821,"[499657048064.0, 258665480192.0, 65072517120.0, 712488576.0]","[0, 0, 0, 0]","[451341184.0, 239567200.0, 59898300.0, 18021916.0]",C49H82NO8P,0.05,22.0,,-H2O,+H
1120170,0.9988275053451963,0.8387920586777401,0.9685793476782762,0.8114840873846875,"[148365361152.0, 61725782016.0, 12851735552.0, 3891627.5]","[0, 0, 0, 0]","[142995696.0, 49008748.0, 11640433.0, 1679928.0]",C45H74NO8P,0.1,22.0,-CO2+CO,,+H
585960,0.9983707175538444,0.6818643052139461,0.9461670519282903,0.6441063956253327,"[6727900160.0, 0, 592559552.0, 0]","[0, 0, 0, 0]","[10751913.0, 0, 2728332.25, 0]",C23H43NO5,0.1,22.0,-CO2+CO,,+H
585960,0.9983707175538444,0.6818643052139461,0.9461670519282903,0.6441063956253327,"[6727900160.0, 0, 592559552.0, 0]","[0, 0, 0, 0]","[10751913.0, 0, 2728332.25, 0]",C23H45NO5,0.1,22.0,,-H2O,+H
585960,0.9983707175538444,0.6818643052139461,0.9461670519282903,0.6441063956253327,"[6727900160.0, 0, 592559552.0, 0]","[0, 0, 0, 0]","[10751913.0, 0, 2728332.25, 0]",C23H43NO4,0.1,22.0,,,+H
584503,0.9981154299175501,0.7662201032360209,0.9384808070556164,0.7177276988207859,"[1243281280.0, 0, 69462408.0, 887321.5]","[0, 0, 0, 0]","[29833034.0, 0, 6137788.0, 887321.5]",C23H43NO,0.1,22.0,,-H2O,+H
1239168,0.9989187173750932,0.6663074559352397,0.9211483194719821,0.6131043366195332,"[18377338880.0, 8042092544.0, 217949440.0, 0]","[0, 0, 0, 0]","[15559060.0, 8157929.5, 3988480.0, 0]",C51H80NO8P,0.1,22.0,-CO2+CO,,+H
1239168,0.9989187173750932,0.6663074559352397,0.9211483194719821,0.6131043366195332,"[18377338880.0, 8042092544.0, 217949440.0, 0]","[0, 0, 0, 0]","[15559060.0, 8157929.5, 3988480.0, 0]",C51H82NO8P,0.1,22.0,,-H2O,+H
