id,name,formula,inchi,added by,comment
EMBL_dev1_137,DHB; 0*M+7*(M-H2O)-2*H+0*K+2*Na,C49H26Na2O21,,Theodore,DHB matrix cluster
EMBL_dev1_138,DHB; 0*M+7*(M-H2O)-1*H+1*K+0*Na,C49H27KO21,,Theodore,DHB matrix cluster
EMBL_dev1_139,DHB; 1*M+0*(M-H2O)-0*H+0*K+0*Na,C7H6O4,,Theodore,DHB matrix cluster
EMBL_dev1_140,DHB; 1*M+0*(M-H2O)-1*H+0*K+1*Na,C7H5NaO4,,Theodore,DHB matrix cluster
EMBL_dev1_141,DHB; 1*M+0*(M-H2O)-2*H+0*K+2*Na,C7H4Na2O4,,Theodore,DHB matrix cluster
EMBL_dev1_142,DHB; 1*M+0*(M-H2O)-1*H+1*K+0*Na,C7H5KO4,,Theodore,DHB matrix cluster
EMBL_dev1_143,DHB; 1*M+0*(M-H2O)-2*H+1*K+1*Na,C7H4NaKO4,,Theodore,DHB matrix cluster
EMBL_dev1_144,DHB; 1*M+0*(M-H2O)-2*H+2*K+0*Na,C7H4K2O4,,Theodore,DHB matrix cluster
EMBL_dev1_145,DHB; 1*M+1*(M-H2O)-0*H+0*K+0*Na,C14H10O7,,Theodore,DHB matrix cluster
EMBL_dev1_146,DHB; 1*M+1*(M-H2O)-1*H+0*K+1*Na,C14H9NaO7,,Theodore,DHB matrix cluster
EMBL_dev1_147,DHB; 1*M+1*(M-H2O)-2*H+0*K+2*Na,C14H8Na2O7,,Theodore,DHB matrix cluster
EMBL_dev1_148,DHB; 1*M+1*(M-H2O)-3*H+0*K+3*Na,C14H7Na3O7,,Theodore,DHB matrix cluster
EMBL_dev1_149,DHB; 1*M+1*(M-H2O)-1*H+1*K+0*Na,C14H9KO7,,Theodore,DHB matrix cluster
EMBL_dev1_150,DHB; 1*M+1*(M-H2O)-2*H+1*K+1*Na,C14H8NaKO7,,Theodore,DHB matrix cluster
EMBL_dev1_151,DHB; 1*M+1*(M-H2O)-3*H+1*K+2*Na,C14H7Na2KO7,,Theodore,DHB matrix cluster
EMBL_dev1_152,DHB; 1*M+1*(M-H2O)-2*H+2*K+0*Na,C14H8K2O7,,Theodore,DHB matrix cluster
EMBL_dev1_153,DHB; 1*M+1*(M-H2O)-3*H+2*K+1*Na,C14H7NaK2O7,,Theodore,DHB matrix cluster
EMBL_dev1_154,DHB; 1*M+1*(M-H2O)-3*H+3*K+0*Na,C14H7K3O7,,Theodore,DHB matrix cluster
EMBL_dev1_155,DHB; 1*M+2*(M-H2O)-0*H+0*K+0*Na,C21H14O10,,Theodore,DHB matrix cluster
EMBL_dev1_156,DHB; 1*M+2*(M-H2O)-1*H+0*K+1*Na,C21H13NaO10,,Theodore,DHB matrix cluster
EMBL_dev1_157,DHB; 1*M+2*(M-H2O)-2*H+0*K+2*Na,C21H12Na2O10,,Theodore,DHB matrix cluster
EMBL_dev1_158,DHB; 1*M+2*(M-H2O)-3*H+0*K+3*Na,C21H11Na3O10,,Theodore,DHB matrix cluster
EMBL_dev1_159,DHB; 1*M+2*(M-H2O)-1*H+1*K+0*Na,C21H13KO10,,Theodore,DHB matrix cluster
EMBL_dev1_160,DHB; 1*M+2*(M-H2O)-2*H+1*K+1*Na,C21H12NaKO10,,Theodore,DHB matrix cluster
EMBL_dev1_161,DHB; 1*M+2*(M-H2O)-3*H+1*K+2*Na,C21H11Na2KO10,,Theodore,DHB matrix cluster
EMBL_dev1_162,DHB; 1*M+2*(M-H2O)-4*H+1*K+3*Na,C21H10Na3KO10,,Theodore,DHB matrix cluster
EMBL_dev1_163,DHB; 1*M+2*(M-H2O)-2*H+2*K+0*Na,C21H12K2O10,,Theodore,DHB matrix cluster
EMBL_dev1_164,DHB; 1*M+2*(M-H2O)-3*H+2*K+1*Na,C21H11NaK2O10,,Theodore,DHB matrix cluster
EMBL_dev1_165,DHB; 1*M+2*(M-H2O)-4*H+2*K+2*Na,C21H10Na2K2O10,,Theodore,DHB matrix cluster
EMBL_dev1_166,DHB; 1*M+2*(M-H2O)-3*H+3*K+0*Na,C21H11K3O10,,Theodore,DHB matrix cluster
EMBL_dev1_167,DHB; 1*M+2*(M-H2O)-4*H+3*K+1*Na,C21H10NaK3O10,,Theodore,DHB matrix cluster
EMBL_dev1_168,DHB; 1*M+3*(M-H2O)-0*H+0*K+0*Na,C28H18O13,,Theodore,DHB matrix cluster
