id	formula	name
LMFA01020094	C18H36O2	neostearic acid
LMFA01020095	C19H38O2	2-methyl-octadecanoic acid
LMFA01020096	C19H38O2	Isononadecanoic acid
LMFA01020097	C5H8O2	beta,beta-dimethyl acrylic acid
LMFA01020098	C6H10O2	4-methyl-4-pentenoic acid
LMFA01020099	C6H10O2	2,2-dimethyl-3-butenoic acid
LMFA01020100	C7H12O2	2-methyl-2Z-hexenoic acid
LMFA01020101	C7H12O2	2-methyl-2E-hexenoic acid
LMFA01020102	C8H14O2	2-methyl-2E-heptenoic acid
LMFA01020103	C9H16O2	6-methyl-5-octenoic acid
LMFA01020104	C10H18O2	Citronellic acid
LMFA01020105	C10H18O2	3,7-dimethyl-2-octenoic acid
LMFA01020106	C12H22O2	5-methyl-2-undecenoic acid
LMFA01020107	C13H24O2	2-methyl-2-dodecenoic acid
LMFA01020108	C14H26O2	5-methyl-2E-tridecenoic acid
LMFA01020109	C15H28O2	2,5-dimethyl-2E-tridecenoic acid
LMFA01020110	C5H8O2	Isopropenylacetic acid
LMFA01020111	C5H8O2	2-ethyl acrylic acid
LMFA01020112	C6H10O2	3-isopropyl acrylic acid
LMFA01020113	C6H10O2	3-methyl-4-pentenoic acid
LMFA01020114	C6H10O2	3-methyl-2Z-pentenoic acid
LMFA01020115	C6H10O2	3-Methyl-3Z-Pentenoic Acid
LMFA01020116	C6H10O2	trimethyl acrylic acid
LMFA01020117	C7H12O2	5-methyl-5-hexenoic acid
LMFA01020118	C7H12O2	2-butyl acrylic acid
LMFA01020119	C7H12O2	4,4-dimethyl-2E-pentenoic acid
LMFA01020120	C7H12O2	4,4-dimethyl-2Z-pentenoic acid
LMFA01020121	C7H12O2	2,2-dimethyl-4-pentenoic acid
LMFA01020122	C7H12O2	2-isopropyl trans-crotonic acid
LMFA01020123	C7H12O2	3-isopropyl-3-butenoic acid
LMFA01020124	C8H14O2	6-methyl-5-heptenoic acid
LMFA01020125	C8H14O2	2-ethyl-3E-hexenoic acid
LMFA01020126	C8H14O2	3-tert-butyl-3-butenoic acid
LMFA01020127	C9H16O2	2-amyl 3-butenoic acid
LMFA01020128	C10H18O2	3-methyl-2-nonenoic acid
LMFA01020129	C10H18O2	2,7-dimethyl-6-octenoic acid
LMFA01020130	C11H20O2	2,7-dimethyl-6-nonenoic acid
LMFA01020131	C11H20O2	4-ethyl-2-methyl-2-octenoic acid
LMFA01020132	C14H26O2	2,4-dimethyl-2E-dodecenoic acid
LMFA01020133	C16H30O2	2,4-dimethyl-2E-tetradecenoic acid
LMFA01020134	C22H42O2	2,4-dimethyl-2-eicosenoic acid
LMFA01020135	C21H40O2	2-propyl-9Z-octadecenoic Acid
LMFA01020136	C21H40O2	2-methyl-2-eicosenoic acid
LMFA01020138	C19H36O2	4-heptyl-2-methyl-2-undecenoic acid
LMFA01020139	C19H36O2	2,5-dimethyl-2-heptadecenoic acid
LMFA01020140	C16H30O2	14-methyl-4-pentadecenoic acid
LMFA01020141	C16H30O2	2-hexyl-2-decenoic acid
LMFA01020142	C16H30O2	6-isopentyl-9-methyl-5-decenoic acid
LMFA01020143	C13H24O2	2-methylene dodecanoic acid
LMFA01020144	C7H14O2	4,4-dimethyl valeric acid
LMFA01020145	C7H14O2	3,4-dimethyl valeric acid
LMFA01020146	C7H14O2	2-ethyl-2-methyl-butanoic acid
LMFA01020147	C8H16O2	3-methyl-heptanoic acid
LMFA01020148	C8H16O2	5-methyl-heptanoic acid
LMFA01020149	C8H16O2	4-ethyl-hexanoic acid
LMFA01020150	C8H16O2	2,2-dimethyl-hexanoic acid
LMFA01020151	C8H16O2	2-ethyl-2-methyl valeric ccid
LMFA01020152	C9H18O2	2-isopropyl-hexanoic acid
LMFA01020153	C9H18O2	3,5,5-trimethyl-hexanoic acid
LMFA01020154	C10H20O2	3-methyl-nonanoic acid
LMFA01020155	C11H22O2	3,3-dimethyl-nonanoic acid
LMFA01020156	C12H24O2	3R-methyl-undecanoic acid
LMFA01020157	C13H26O2	4S-methyl-dodecanoic acid
LMFA01020158	C14H28O2	2-ethyl-dodecanoic acid
LMFA01020159	C14H28O2	9-methyl-tridecanoic acid
LMFA01020160	C14H28O2	6-ethyl-dodecanoic acid
LMFA01020161	C14H28O2	2,4-dimethyl-dodecanoic acid
LMFA01020162	C15H30O2	3-methyl-tetradecanoic acid
LMFA01020163	C15H30O2	11-methyl-tetradecanoic acid
LMFA01020164	C16H32O2	3-methyl-pentadecanoic acid
LMFA01020165	C16H32O2	2-propyl-tridecanoic acid
LMFA01020166	C16H32O2	2-hexyl-decanoic acid
LMFA01020167	C16H32O2	3-ethyl-3-methyl-tridecanoic acid
LMFA01020168	C16H32O2	2-heptyl-nonanoic acid
LMFA01020169	C16H32O2	6-ethyl-tetradecanoic acid
LMFA01020170	C16H32O2	2,4-dimethyl-tetradecanoic acid
LMFA01020171	C16H32O2	3,5-dimethyl-tetradecanoic acid
LMFA01020172	C16H32O2	4-hexyl-decanoic acid
LMFA01020173	C16H32O2	2-ethyl-2-butyl-decanoic acid
LMFA01020175	C18H36O2	11,15-dimethyl-hexadecanoic acid
LMFA01020176	C19H38O2	15-methyl-octadecanoic acid
LMFA01020177	C19H38O2	5-methyl-octadecanoic acid
LMFA01020181	C5H10O2	Isovaleric acid
LMFA01020182	C11H22O2	3-methyl-decanoic acid
LMFA01020183	C11H22O2	4-methyl-decanoic acid
LMFA01020184	C11H22O2	5-methyl-decanoic acid
LMFA01020185	C11H22O2	6-methyl-decanoic acid
LMFA01020186	C11H22O2	7-methyl-decanoic acid
LMFA01020187	C11H22O2	Anteisoundecanoic acid
LMFA01020188	C11H22O2	9-methyl-decanoic acid
LMFA01020189	C14H28O2	2,5-dimethyl-dodecanoic acid
LMFA01020190	C14H28O2	Anteisomyristic acid
LMFA01020191	C14H28O2	3-methyl-tridecanoic acid
LMFA01020192	C16H32O2	Anteisohexa­decanoic acid
